Package,Function,First lesson used,Definition
dplyr,slice_min,2.5_subsetting,Sort a data frame by a variable and subset to the rows associated with the lowest values of that variable
dplyr,slice_max,2.2_intro_to_data_vis,Sort a data frame by a variable and subset to the rows associated with the highest values of that variable
dplyr,summarize,2.1_reshaping_data_frames,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
dplyr,transmute,2.4_mutation,Mutate a data frame while subsetting the columns to those specified in the function
dplyr,ungroup,2.6_summarizing,Remove any grouping on a data frame
ggplot2,aes,2.2_intro_to_data_vis,Define aesthetics
ggplot2,coord_flip,2.2_intro_to_data_vis,Switch the mapping to the horizontal and vertical coordinates
ggplot2,element_line,2.2_intro_to_data_vis,Set the theme for a line element
ggplot2,element_rect,2.2_intro_to_data_vis,Set the theme for a shape element
ggplot2,element_text,2.2_intro_to_data_vis,Set the theme for a text element
ggplot2,expansion,2.2_intro_to_data_vis,Set upper and lower values or proportions to expand an axis by
ggplot2,facet_wrap,2.2_intro_to_data_vis,Split plot into facets
ggplot2,geom_bar,2.2_intro_to_data_vis,Create a bar geometry
ggplot2,geom_point,2.2_intro_to_data_vis,Create a point geometry
ggplot2,geom_smooth,2.2_intro_to_data_vis,Add a line-of-best-fit geometry
ggplot2,geom_sf,3.2_introduction_to_shapefiles,Add an sf layer to a ggplot
ggplot2,geom_sf_text,3.3_constructing_and_converting_shapefiles,Add an sf layer to a ggplot as a text
ggplot2,ggplot,2.2_intro_to_data_vis,"Set the data and, potentially, the aesthetics of a plot"
ggplot2,ggsave,2.2_intro_to_data_vis,Save a ggplot to your computer
ggplot2,labs,2.2_intro_to_data_vis,Add or modify the labels of a plot
ggplot2,scale_color_manual,2.2_intro_to_data_vis,Manually define the colors of a geometry
ggplot2,scale_fill_brewer,2.2_intro_to_data_vis,Fill a geometry with colors from a RColorBrewer palette
ggplot2,scale_fill_viridis_c,3.5_spatial_and_nonspatial_joins,Add a continuous virdis color scale to a plot
ggplot2,scale_x_continuous,2.2_intro_to_data_vis,Set the scale of the x axis
ggplot2,scale_y_continuous,2.2_intro_to_data_vis,Set the scale of the y axis
ggplot2,theme,2.2_intro_to_data_vis,Define the theme elements of a plot
ggplot2,theme_bw,2.2_intro_to_data_vis,Generate a pre-packaged light background theme for a plot
ggplot2,theme_set,3.3_constructing_and_converting_shapefiles,Set the ggplot theme for an entire session
ggplot2,theme_void,3.3_constructing_and_converting_shapefiles,A ggplot theme that contains no axes or panel background
lobstr,ref,1.5_assignments,View the structure of an object in your computer's memory
lubridate,year,2.5_subsetting,Extract the year from a properly formatted date value
magrittr,%>%,1.5_assignments,The pipe operator passes the output of the LHS argument to the function on the right
purrr,map_dbl,1.6_course_style_guide,Iterate across a vector and return a double numeric vector
purrr,pluck,2.5_subsetting,Extract a list item from a list
readr,read_csv,0.3-objects,Read a tabular csv file into R as a tibble data frame
readr,read_lines,0.3-objects,Read an atomic vector into R
readr,read_rds,0.3-objects,Read an RDS file into R
readr,write_csv,0.3-objects,Write a data frame to your hard drive as a csv file
readr,write_lines,0.3-objects,Write an atomic vector to your hard drive as a txt file
readr,write_rds,0.3-objects,Write an data object to your hard drive as an RDS file
readxl,excel_sheets,1.4_importing_exploring_exporting,Return the names of worksheets in an Excel file
readxl,read_excel,1.4_importing_exploring_exporting,Read an Excel worksheet into R
rlang,set_names,1.5_assignments,Assign names to values in a vector or items in a list
sf,st_as_sf,3.2_introduction_to_shapefiles,Convert a data frame to an sf object
sf,st_cast,3.2_introduction_to_shapefiles,Convert a geometry from one type to another
sf,st_combine,3.3_constructing_and_converting_shapefiles,Combine multiple geometries into a single geometry
sf,st_coordinates,3.3_constructing_and_converting_shapefiles,Extract coordinates from an sf object as a matrix
sf,st_crs,3.2_introduction_to_shapefiles,Get the CRS of a shapefile
sf,st_filter,3.5_spatial_and_nonspatial_joins,"Conduct a filtering join (i.e., subset geometries) of a target table relative to the geometry of a source table"
sf,st_join,3.5_spatial_and_nonspatial_joins,Conduct a mutating join of a target table relative to the geometry of a source table
sf,st_linestring,3.3_constructing_and_converting_shapefiles,Convert a matrix to a linestring geometry object
sf,st_point,3.3_constructing_and_converting_shapefiles,Convert a vector of coordinates to a single point
sf,st_polygon,3.3_constructing_and_converting_shapefiles,Convert a list to a polygon geometry object
sf,st_read,3.2_introduction_to_shapefiles,Read in a simple features or other GIS shapefile
sf,st_sf,3.3_constructing_and_converting_shapefiles,Convert a simple features column object to an sf object
sf,st_sfc,3.3_constructing_and_converting_shapefiles,Store a geometry in a simple features column object
sf,st_transform,3.2_introduction_to_shapefiles,Transform the CRS of a shapefile to a different CRS
stats,median,1.4_importing_exploring_exporting,Calculate the median value of a numeric vector and return as a one-value double numeric or integer vector
stats,sd,1.4_importing_exploring_exporting,Calculate the standard deviation of a numeric vector and return as a one-value double numeric vector
stats,var,1.4_importing_exploring_exporting,Calculate the variance of a numeric vector and return as a one-value double numeric vector
stringr,str_c,0.1-intro_to_r_and_rstudio,"Concatenate strings, with or without (default) a separator"
tibble,as_tibble,3.5_spatial_and_nonspatial_joins,Convert a data frame (and some other non-tibble objects!) to a tibble data frame
tibble,tibble,0.3-objects,Column-wise creation of a tibble data frame
tibble,tribble,1.3_objects,Row-wise creation of a tibble data frame
tidyr,drop_na,2.5_subsetting,Remove rows that contain NA values
tidyr,pivot_longer,2.1_reshaping_data_frames,Convert a data frame from wide to long format
tidyr,pivot_wider,2.1_reshaping_data_frames,Convert a data frame from long to wide format
tidyr,replace_na,2.4_mutation,Replace an NA value in a vector with a different value
tidyr,separate,2.1_reshaping_data_frames,Separate a single column into multiple columns by a delimiter
tidyr,unite,2.1_reshaping_data_frames,Combine columns in a data frame to create a single column
tidyselect,everything,2.5_subsetting,"Used in combination with select, this selects all but the specified columns."
tidyselect,where,2.5_subsetting,Select a variable with a function that returns `TRUE` or `FALSE`
tidyverse,tidyverse_packages,1.3_objects,Generate a character vector of package names in the tidyverse metapackage
tidyverse,tidyverse_update,1.2_getting_started,Update packages in the tidyverse metapackage
utils,?,0.1-intro_to_r_and_rstudio,Prefix operator to retrieve the help file for a function
utils,install.packages,0.1-intro_to_r_and_rstudio,Download a package onto your computer's hard drive
utils,news,1.2_getting_started,View the version history of a package
utils,str,0.4-indexing,View the structure of a data object
